0install|0install.2.18|gnupgunzip{os-family=debian}|Decentralised installation system
aio|aio.0.0.3|libaio-dev{os-family=debian}|Linux kernel AIO access library for ocaml
argon2|argon2.1.0.2|libargon2-dev{os-family=debian}|OCaml bindings to Argon2
assimp|assimp.0.3|libassimp-dev{os-family=debian}|OCaml bindings to Assimp, Open Asset Import Library
bwrap|bwrap.0.1|bubblewrap{os-family=debian&os-distribution!=ubuntu}|Use Bubblewrap to sandbox executables
ca-certs|ca-certs.1.0.1|ca_root_nss{os=freebsd}|Detect root CA certificates from the operating system
ceph|ceph.20240106|libcephfs{os-family=arch}|Bindings to libcephfs
cmark|cmark.0.2.0|cmark{os=macos&os-distribution=homebrew}|synopsis:
cmarker|cmarker.0.3.0|cmark{os=macos&os-distribution=homebrew}|Bindings for a local installation of CMark
core_unix|core_unix.v0.17.1|url{|Unix-specific portions of Core
freetds|freetds.0.7|freetds-dev{os-distribution=alpine}|Binding to the FreeTDS library
freetennis|freetennis.0.4.8||Free Tennis, a free tennis simulation.
fstar|fstar.2025.03.25|build:|Verification system for effectful programs
gavl|gavl.0.1.6|gavl-dev{os-distribution=alpine}|synopsis:
geoip|geoip.0.0.3|libgeoip-dev{os-family=debian}|Bindings to GeoIP database library.
gettext-stub|gettext-stub.0.5.0|gettext{os=macos&os-distribution=homebrew}|Internationalization using C gettext library (i18n)
gles3|gles3.20160307.alpha|libgles2-mesa-dev{os-family=debian}|OCaml GLES 3.0 bindings
glpk|glpk.0.1.8|libglpk-dev{os-family=debian}|Bindings for glpk
gperftools|gperftools.0.5|libgoogle-perftools-dev{os-family=debian}|Bindings to gperftools
grib|grib.0.11.0|libjpeg-devlibopenjpeg-devlibgrib-api-devlibpng-dev|Bindings for the ECMWF GRIB API
hdf5|hdf5.0.1.5|hdf5{os-distribution=alpine}|Manages HDF5 files used for storing large amounts of data
heroicons-reason-react|heroicons-reason-react.1.0|@heroicons/react{npm-version=^2.2.0}|ReasonML bindings to the Heroicons React components
irrlicht|irrlicht.0.0.5|libirrlicht-devg++{os-family=debian}|An OCaml binding for the Irrlicht Engine
javascriptcore|javascriptcore.0.0.1|libc++-devlibjavascriptcoregtk-3.0-dev{os-family=debian}|OCaml bindings to JavaScriptCore
jemalloc|jemalloc.0.2|jemalloc-dev{os-distribution=alpine}|Bindings to jemalloc mallctl api
karamel|karamel.1.0.0|conflicts:kremlin{!=transition}|A compiler from Low*, a low-level subset of F*, to C
krb|krb.v0.16.0|libkrb5-dev{os-family=debian}|A library for using Kerberos for both Rpc and Tcp communication
kremlin|kremlin.1.0.0|build:|A compiler from Low*, a low-level subset of F*, to C
kyotocabinet|kyotocabinet.0.2|libkyotocabinet-dev{os-family=debian}|OCaml bindings for Kyoto Cabinet DBM
lablgtk3-gtkspell3|lablgtk3-gtkspell3.3.1.5|gtkspell3-dev{os-distribution=alpine}|OCaml interface to GTK+3
lablgtkosx|lablgtkosx.2.01|gtk-mac-integration{os-distribution=homebrew&os=macos}|Lablgtkosx binds gOSX_application on top of lablgtk
labrys|labrys.0.1|libgc-dev{os-family=debian}|synopsis:
libssh|libssh.0.1|libssh-devel{os-distribution=centos}|Bindings to libssh
liquidsoap|liquidsoap.2.3.2|dev-repo:git+https://github.com/savonet/liquidsoap.git|Swiss-army knife for multimedia streaming
lmdb|lmdb.1.0|liblmdb-dev{os-family=debian}|Bindings for LMDB, a fast in-file database with ACID transactions
magic|magic.0.7.4|libmagic-dev{os-family=debian}|Bindings to libmagic
melange-jest|melange-jest.0.1.1|jest{npm-version=^26.5.2}|Melange bindings for Jest
melange-numeral|melange-numeral.0.0.1|numeral{npm-version=2.0.6}|Melange bindings for Numeral
melange-react-dates|melange-react-dates.1.4.0|react-dates{npm-version=^21.8.0}|Melange bindings for react-dates
melange-react-query|melange-react-query.0.1.0|@tanstack/react-query{npm-version=^4.2.1}|React Query support for Melange
melange-recharts|melange-recharts.4.0.3|recharts{npm-version=^2.1.12}|Melange bindings for recharts
melange-testing-library|melange-testing-library.0.1.0|@testing-library/react{npm-version=^11.1.0}|Melange bindings for testing-library (dom-testing-library and react-testing-library)
milter|milter.1.0.4|libmilter-dev{os-distribution=alpine}|OCaml libmilter bindings
misuja|misuja.0.0.0|libjack-jackd2-dev{os-family=debian}|synopsis:
mm|mm.0.8.6|linux-headers{os-family=alpine}|synopsis:
mopsa|mopsa.1.1|clanglibclang-cpp-devlibclang-devllvm-dev|synopsis:
nbd-tool|nbd-tool.6.0.1|qemu-imgnbdnmap-ncat{with-test&os-family=rhel}|Network Block Device (NBD) protocol implementation
ocaml-buddy|ocaml-buddy.0.6.1|libbdd-dev{os-family=debian}|Bindings for the Buddy BDD library.
ocaml-option-32bit|ocaml-option-32bit.1|gcc-multilibg++-multilib{os-family=debian}|Set OCaml to be compiled in 32-bit mode for 64-bit Linux and OS X hosts
ocaml-option-musl|ocaml-option-musl.1|musl-tools{os-family=debian}|Set OCaml to be compiled with musl-gcc
ocaml-option-static|ocaml-option-static.1|musl-tools{os-family=debian}|Set OCaml to be compiled with musl-gcc -static
ocaml-probes|ocaml-probes.v0.17.0|available:(arch=x86_64|arch=arm64)&os=linux|USDT probes for OCaml: command line tool
ocaml-systemd|ocaml-systemd.1.3|libsystemd-dev{os-family=debian}|OCaml module for native access to the systemd facilities
ocsigen-start|ocsigen-start.7.1.0|imagemagickruby-sasspostgresqlpostgresql-common{os-family=debian}|Higher-level library for developing Web and mobile applications with users, registration, notifications, etc
odbc|odbc.3.0|unixodbc-dev{os-family=debian}|Interface to various ODBC drivers
opam-bundle|opam-bundle.0.4||A tool that creates stand-alone source bundles from opam packages
opam-check-npm-deps|opam-check-npm-deps.3.0.1|maintainer:JavierChávarri<javier.chavarri@ahrefs.com>|synopsis:
opencc|opencc.0.4.3-0.1.1|libopencc-dev{os-family=debian}|Bindings for OpenCC - Open Chinese Convert
oqamldebug|oqamldebug.0.9.5|qt4-qmakelibqt4-dev{os-family=debian}|Graphical front-end to ocamldebug
ordma|ordma.0.0.5|libibverbs-devlibrdmacm-dev{os-family=debian}|Ordma provides OCaml bindings to librdmacm (rsocket)
papi|papi.0.1.1|libpapi-dev{os-family=debian}|Performance Application Programming Interface (PAPI) bindings
pci|pci.1.0.1|hwdatalibpci-dev{os-family=debian}|Ctypes bindings to libpci for OCaml
plplot|plplot.5.12.0|libplplot-devlibshp-dev{os-family=debian}|Bindings for the PLplot library
proj4|proj4.0.9.2|libproj-dev{os-family=debian}|Bindings to the PROJ.4 projection library
protocell|protocell.1.0.0|libprotoc-devprotobuf-compiler{os-family=debian}|A Protobuf plugin for OCaml
rawlink-eio|rawlink-eio.2.1|linux-headers{os-distribution=alpine}|Portable library to read and write raw packets with EIO bindings
rawlink-lwt|rawlink-lwt.2.1|linux-headers{os-distribution=alpine}|Portable library to read and write raw packets with Lwt bindings
rawlink|rawlink.2.1|linux-headers{os-distribution=alpine}|Portable library to read and write raw packets
reason-react|reason-react.0.15.0|react{npm-version=^18.0.0}|Reason bindings for React.js
reshowcase|reshowcase.5.3.0|copy-webpack-plugin{npm-version=^11.0.0}|A tool to create demos for your ReasonReact components
